#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   19          10,500        7,600        1,200

 19       35,7942

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	106,65	 90,08	  32,3	  41,3	  45,0	  45,9	  47,5	  48,4	  47,5	  27,9
s	     0,7320	 1	106,69	102,05	  31,4	  40,6	  44,3	  45,1	  46,8	  47,8	  46,7	  27,1
*	    33,0347	 1	255,34	100,97	 -10,8	  -1,6	   2,1	   2,9	   4,5	   5,2	   3,4	 -19,1
*	    31,1119	 1	228,45	100,34	 -10,8	  -1,7	   2,0	   2,8	   4,4	   5,2	   3,4	 -19,0
*	    33,6790	 1	208,57	 98,42	 -13,1	  -3,9	  -0,2	   0,6	   2,2	   2,9	   1,1	 -21,5
*	    17,7656	 1	260,26	111,00	  -0,8	   8,3	  12,0	  12,8	  14,4	  15,3	  13,9	  -7,3
*	    16,1471	 1	212,26	107,24	  -2,3	   6,9	  10,6	  11,4	  13,0	  13,9	  12,5	  -8,5
*	    20,1869	 1	190,09	101,20	  -7,1	   2,0	   5,7	   6,5	   8,1	   9,0	   7,5	 -13,9
*	     5,2523	 1	326,33	155,21	  13,2	  22,4	  26,0	  26,9	  28,5	  29,5	  28,3	   8,3
*	     4,6060	 1	163,35	117,32	   5,9	  15,0	  18,7	  19,5	  21,2	  22,1	  21,0	   1,0
*	     9,7587	 1	161,56	103,15	  -2,2	   6,9	  10,6	  11,4	  13,1	  14,0	  12,7	  -7,7
*	     4,1839	 1	 59,01	113,70	   4,6	  13,8	  17,5	  18,3	  19,9	  20,9	  19,8	  -0,2
*	     0,8798	 1	110,54	108,94	   4,3	  13,4	  17,1	  17,9	  19,6	  20,6	  19,6	  -0,1
*	     3,6765	 1	132,36	101,94	   0,3	   9,5	  13,1	  14,0	  15,6	  16,6	  15,5	  -4,4
*	     7,2855	 1	 64,64	102,52	  -1,5	   7,7	  11,3	  12,2	  13,8	  14,7	  13,6	  -6,7
*	     1,7191	 1	 92,70	101,72	   1,5	  10,6	  14,3	  15,2	  16,8	  17,8	  16,7	  -3,0
*	     1,1307	 1	112,97	 99,43	   2,5	  11,7	  15,4	  16,2	  17,8	  18,8	  17,8	  -1,9
s	     0,9820	 1	106,61	 77,27	  29,9	  39,0	  42,6	  43,1	  44,8	  46,5	  45,9	  25,5
*	    48,5504	 1	218,63	 81,23	 -15,3	  -5,5	  -1,6	  -0,9	   0,7	   2,1	   0,2	 -22,0
*	    46,2515	 1	234,07	 79,98	 -14,0	  -4,1	  -0,3	   0,5	   2,0	   3,5	   1,7	 -20,3
*	    47,4393	 1	252,66	 79,43	 -13,9	  -4,0	  -0,2	   0,5	   2,1	   3,5	   1,7	 -20,4
*	    33,9648	 1	207,29	 79,02	 -10,1	  -0,2	   3,6	   4,4	   6,0	   7,5	   6,0	 -14,9
*	    30,7135	 1	226,09	 76,13	  -7,6	   2,3	   6,2	   6,9	   8,5	  10,0	   8,7	 -12,0
*	    31,7515	 1	253,03	 74,59	  -7,0	   2,8	   6,7	   7,4	   9,0	  10,6	   9,2	 -11,6
*	    20,9479	 1	188,63	 76,38	  -4,5	   5,3	   9,2	  10,0	  11,6	  13,2	  12,0	  -7,7
*	    16,2573	 1	207,67	 68,77	   0,4	  10,3	  14,1	  14,9	  16,5	  18,1	  17,1	  -2,2
*	    16,6416	 1	254,16	 61,41	   2,9	  12,8	  16,7	  17,4	  19,0	  20,7	  19,6	   0,3
*	    10,9119	 1	161,54	 75,08	  -0,0	   9,9	  13,7	  14,5	  16,1	  17,8	  16,9	  -1,9
*	     5,4081	 1	161,15	 61,34	   7,1	  17,0	  20,8	  21,6	  23,2	  24,9	  24,2	   5,9
*	     4,7476	 1	  0,61	  4,39	  15,0	  24,9	  28,8	  29,5	  31,2	  32,9	  32,2	  13,9
*	     4,8203	 1	134,61	 76,91	   2,6	  12,5	  16,4	  17,2	  18,8	  20,5	  19,8	   1,5
*	     1,3398	 1	115,43	 69,72	   6,5	  16,3	  20,2	  21,0	  22,6	  24,4	  23,7	   5,7
*	     3,4625	 1	 69,74	 62,88	   7,6	  17,4	  21,3	  22,1	  23,7	  25,4	  24,8	   6,6
*	     1,8970	 1	116,18	 79,83	   5,4	  15,2	  19,1	  19,9	  21,5	  23,2	  22,6	   4,6
*	     1,4475	 1	 97,45	 77,21	   4,8	  14,7	  18,6	  19,3	  21,0	  22,7	  22,1	   4,1
*	     6,0764	 1	 70,83	 75,79	   2,2	  12,1	  15,9	  16,7	  18,3	  20,0	  19,3	   0,9
*	     1,6115	 1	104,99	 82,18	  10,6	  20,5	  24,4	  25,1	  26,8	  28,5	  27,9	   9,8
*	     4,5410	 1	 89,62	 81,06	   4,1	  14,0	  17,8	  18,6	  20,2	  21,9	  21,2	   2,9
*	    11,0542	 1	 71,19	 80,57	  -1,1	   8,8	  12,7	  13,4	  15,0	  16,7	  15,8	  -3,0
s	     1,9384	 1	104,64	 90,11	  30,7	  40,2	  44,0	  44,9	  46,4	  47,3	  46,7	  26,9
*	    20,5840	 1	 62,72	 91,86	  -6,3	   3,2	   7,0	   7,9	   9,5	  10,2	   9,1	 -12,4
