#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   21          15,500        7,600        1,200

 21       48,4787

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	102,80	 90,03	  29,7	  38,7	  42,3	  43,2	  44,8	  45,7	  44,4	  23,7
s	     0,5430	 1	102,82	 98,92	  28,9	  38,1	  41,7	  42,6	  44,2	  45,1	  43,7	  23,0
*	     7,3029	 1	279,61	141,61	   7,1	  16,3	  19,9	  20,8	  22,4	  23,2	  21,7	   0,4
*	     8,1710	 1	185,32	114,43	  -0,4	   8,7	  12,4	  13,2	  14,8	  15,7	  14,1	  -7,3
*	    14,1053	 1	175,32	102,49	  -8,4	   0,7	   4,4	   5,2	   6,8	   7,6	   5,9	 -16,0
*	     2,4752	 1	 65,45	120,76	   3,4	  12,5	  16,2	  17,0	  18,6	  19,5	  18,1	  -2,8
*	     1,8340	 1	127,35	110,84	  -0,3	   8,9	  12,6	  13,4	  15,0	  15,9	  14,5	  -6,4
*	     6,7161	 1	145,64	102,04	  -6,6	   2,6	   6,3	   7,1	   8,7	   9,6	   8,1	 -13,2
*	     3,3975	 1	 71,69	104,14	  -4,3	   4,9	   8,6	   9,4	  11,0	  11,9	  10,5	 -10,5
*	     0,5978	 1	103,22	102,73	  -4,0	   5,2	   8,8	   9,7	  11,3	  12,2	  10,8	  -9,9
*	     2,9135	 1	123,86	 99,72	  -6,4	   2,8	   6,5	   7,3	   8,9	   9,8	   8,4	 -12,6
*	     5,4842	 1	 73,33	 99,16	  -7,7	   1,4	   5,1	   5,9	   7,5	   8,4	   7,0	 -14,2
*	     1,0812	 1	 93,97	 98,77	  -5,8	   3,4	   7,0	   7,9	   9,5	  10,4	   9,0	 -11,8
*	     1,1581	 1	110,83	 97,62	  -5,7	   3,5	   7,2	   8,0	   9,6	  10,5	   9,2	 -11,7
*	     8,9323	 1	 74,08	 96,81	  -9,5	  -0,4	   3,3	   4,1	   5,7	   6,6	   5,0	 -16,5
*	     2,9245	 1	 89,33	 96,67	  -6,0	   3,2	   6,9	   7,7	   9,3	  10,2	   8,8	 -12,2
*	     0,6838	 1	102,93	 96,13	  -3,1	   6,0	   9,7	  10,5	  12,2	  13,1	  11,7	  -9,0
s	     0,7295	 1	102,79	 80,49	  27,3	  36,4	  40,0	  40,6	  42,2	  43,8	  42,9	  21,4
*	    25,5995	 1	199,96	 76,99	  -9,8	   0,0	   3,9	   4,6	   6,2	   7,7	   6,1	 -15,2
*	    20,8465	 1	219,86	 71,03	  -5,4	   4,5	   8,3	   9,1	  10,7	  12,2	  10,7	 -10,1
*	    20,7102	 1	259,77	 66,37	  -3,2	   6,6	  10,5	  11,2	  12,8	  14,3	  12,9	  -8,0
*	    14,6588	 1	174,51	 75,04	  -5,8	   4,1	   8,0	   8,7	  10,3	  11,9	  10,6	  -9,7
*	     8,4925	 1	181,19	 61,81	   1,7	  11,5	  15,4	  16,2	  17,8	  19,4	  18,2	  -1,5
*	     6,8061	 1	267,80	 23,43	   9,5	  19,4	  23,3	  24,0	  25,6	  27,3	  26,2	   6,6
*	     7,5339	 1	146,39	 76,12	  -4,0	   5,9	   9,7	  10,5	  12,1	  13,7	  12,6	  -7,1
*	     2,4256	 1	129,09	 67,05	   1,7	  11,6	  15,4	  16,2	  17,8	  19,4	  18,5	  -0,8
*	     2,3879	 1	 75,01	 55,94	   5,3	  15,2	  19,1	  19,8	  21,4	  23,1	  22,1	   2,9
*	     3,7099	 1	125,80	 78,99	  -3,7	   6,2	  10,0	  10,8	  12,4	  14,0	  13,0	  -6,3
*	     0,8727	 1	106,37	 75,66	  -1,3	   8,6	  12,5	  13,2	  14,8	  16,5	  15,6	  -3,5
*	     2,9526	 1	 76,65	 73,75	  -1,2	   8,6	  12,5	  13,3	  14,9	  16,5	  15,5	  -3,8
*	     1,7878	 1	113,18	 81,50	  -2,8	   7,1	  11,0	  11,7	  13,3	  15,0	  14,0	  -5,1
*	     0,9704	 1	 97,03	 80,15	  -2,6	   7,3	  11,2	  11,9	  13,5	  15,2	  14,3	  -4,8
*	     4,6750	 1	 77,11	 79,57	  -4,3	   5,6	   9,5	  10,2	  11,8	  13,5	  12,4	  -7,0
