#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   17           5,750        7,600        1,200

 17       25,6636

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	109,48	 90,30	  35,2	  44,2	  47,9	  48,8	  50,4	  51,4	  50,8	  32,1
s	     1,0115	 1	109,58	106,79	  34,2	  43,4	  47,0	  47,9	  49,5	  50,6	  49,8	  31,1
*	    56,8310	 1	238,79	 95,58	 -18,3	  -9,1	  -5,5	  -4,7	  -3,1	  -2,4	  -4,6	 -28,4
*	    54,2774	 1	223,48	 95,62	 -17,7	  -8,5	  -4,9	  -4,1	  -2,5	  -1,8	  -4,0	 -27,5
*	    55,1177	 1	209,66	 95,32	 -18,3	  -9,1	  -5,4	  -4,6	  -3,1	  -2,4	  -4,5	 -28,1
*	    41,2777	 1	240,18	 97,90	 -12,3	  -3,1	   0,6	   1,4	   2,9	   3,7	   1,9	 -20,4
*	    38,3651	 1	219,39	 97,84	 -11,6	  -2,4	   1,3	   2,1	   3,7	   4,5	   2,7	 -19,4
*	    39,6342	 1	202,02	 97,01	 -12,6	  -3,5	   0,2	   1,0	   2,6	   3,4	   1,6	 -20,6
*	    26,2810	 1	243,14	102,82	  -4,3	   4,8	   8,5	   9,3	  10,9	  11,8	  10,4	 -10,6
*	    23,0114	 1	211,07	102,14	  -3,7	   5,5	   9,2	  10,0	  11,6	  12,5	  11,2	  -9,6
