#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   03           5,750        1,600        1,200

 03       15,8555

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	131,98	 89,71	  39,4	  48,4	  52,1	  53,0	  54,6	  55,7	  55,3	  37,5
s	     0,9961	 1	143,75	 89,62	  37,7	  47,2	  51,0	  51,9	  53,5	  54,5	  54,4	  36,5
*	     5,7558	 1	218,12	 63,29	  16,8	  26,3	  30,2	  31,1	  32,7	  33,6	  33,4	  15,1
*	     1,6092	 1	144,20	 79,72	  20,5	  30,0	  33,9	  34,8	  36,4	  37,4	  37,3	  19,3
s	     1,5897	 1	132,32	115,43	  37,9	  47,0	  50,7	  51,6	  53,2	  54,4	  53,9	  35,9
*	    71,6989	 1	332,18	 95,06	 -20,2	 -11,1	  -7,4	  -6,6	  -5,1	  -4,4	  -6,8	 -31,0
*	    64,8477	 1	319,61	 95,50	 -18,0	  -8,9	  -5,2	  -4,4	  -2,8	  -2,1	  -4,3	 -27,9
*	    61,1918	 1	304,70	 95,70	 -16,8	  -7,6	  -3,9	  -3,1	  -1,6	  -0,8	  -2,9	 -26,2
*	    57,7590	 1	340,99	 96,45	 -15,6	  -6,4	  -2,8	  -2,0	  -0,4	   0,3	  -1,6	 -24,6
*	    49,3712	 1	326,27	 97,50	 -12,2	  -3,1	   0,6	   1,4	   3,0	   3,8	   2,1	 -20,1
*	    44,7276	 1	306,62	 98,14	 -10,1	  -1,0	   2,7	   3,5	   5,1	   5,9	   4,3	 -17,5
*	    45,3603	 1	354,44	 98,27	 -10,7	  -1,5	   2,1	   3,0	   4,5	   5,4	   3,7	 -18,1
*	    34,8096	 1	338,57	100,87	  -5,2	   3,9	   7,6	   8,4	  10,1	  11,0	   9,6	 -11,3
*	    28,4728	 1	310,82	103,33	  -1,2	   8,0	  11,7	  12,5	  14,1	  15,1	  13,9	  -6,5
*	    35,7103	 1	 14,25	100,09	  -6,3	   2,9	   6,6	   7,4	   9,0	   9,9	   8,5	 -12,5
*	    22,5250	 1	  3,89	105,94	   2,4	  11,6	  15,2	  16,1	  17,7	  18,7	  17,6	  -2,2
*	    13,0184	 1	326,60	119,88	  12,4	  21,6	  25,3	  26,1	  27,8	  28,8	  28,0	   9,0
*	    30,4304	 1	 38,44	100,70	  -3,8	   5,4	   9,1	   9,9	  11,5	  12,4	  11,2	  -9,4
