#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   18           8,000        7,600        1,200

 18       30,0968

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	108,76	 90,15	  33,8	  42,8	  46,5	  47,4	  49,0	  50,0	  49,2	  30,2
s	     0,8670	 1	108,82	104,31	  32,9	  42,1	  45,7	  46,6	  48,2	  49,3	  48,4	  29,2
*	    45,9010	 1	248,52	 97,45	 -15,2	  -6,1	  -2,4	  -1,6	  -0,0	   0,7	  -1,4	 -24,5
*	    43,5647	 1	229,25	 97,32	 -14,8	  -5,7	  -2,0	  -1,2	   0,4	   1,1	  -0,9	 -23,8
*	    45,0540	 1	212,85	 96,57	 -15,9	  -6,8	  -3,1	  -2,3	  -0,7	   0,0	  -2,0	 -25,1
*	    30,4126	 1	250,71	101,56	  -8,0	   1,2	   4,9	   5,7	   7,3	   8,1	   6,5	 -15,3
*	    27,8888	 1	222,06	100,92	  -7,7	   1,4	   5,1	   5,9	   7,5	   8,4	   6,8	 -14,8
*	    30,2067	 1	201,36	 98,80	 -10,0	  -0,8	   2,9	   3,7	   5,3	   6,1	   4,5	 -17,3
*	    15,6879	 1	257,52	113,31	   2,7	  11,9	  15,6	  16,4	  18,0	  18,9	  17,7	  -2,8
*	    13,3066	 1	203,79	108,84	   1,6	  10,7	  14,4	  15,2	  16,8	  17,8	  16,6	  -3,7
*	    17,0216	 1	181,53	101,75	  -3,5	   5,7	   9,4	  10,2	  11,8	  12,7	  11,4	  -9,2
*	     5,0003	 1	355,11	151,11	  15,0	  24,2	  27,9	  28,7	  30,3	  31,4	  30,4	  10,9
*	     2,9867	 1	148,34	118,25	   9,4	  18,5	  22,2	  23,1	  24,7	  25,7	  24,8	   5,5
*	     7,2290	 1	151,68	103,51	   2,0	  11,2	  14,9	  15,7	  17,3	  18,3	  17,3	  -2,5
*	     6,0750	 1	 53,03	111,28	   5,4	  14,6	  18,2	  19,1	  20,7	  21,7	  20,7	   1,1
*	     1,1005	 1	100,25	108,05	   7,1	  16,2	  19,9	  20,8	  22,4	  23,4	  22,6	   3,4
*	     2,0734	 1	123,07	101,94	   5,6	  14,8	  18,5	  19,3	  20,9	  22,0	  21,1	   1,8
s	     1,1615	 1	108,69	 75,03	  31,3	  40,4	  44,0	  44,5	  46,2	  48,0	  47,5	  27,6
*	    60,5056	 1	219,19	 82,58	 -17,8	  -7,9	  -4,1	  -3,4	  -1,8	  -0,5	  -2,5	 -25,2
*	    58,8809	 1	232,13	 81,86	 -17,0	  -7,2	  -3,3	  -2,6	  -1,0	   0,3	  -1,6	 -24,2
*	    60,3317	 1	246,66	 81,53	 -17,2	  -7,3	  -3,5	  -2,8	  -1,2	   0,2	  -1,8	 -24,6
