#HEADER
CATT-Acoustic v8.0b    Copyright © CATT 1988-2003

 Project                : Aula Optica 

 GEOMETRICAL INFORMATION
 Src id and loc     [m] :   A0           0,400        0,600        1,300
 Rec id and loc     [m] :   16           3,000        7,600        1,200

 16       21,7518

 VARIABLE SOURCE DATA
 Directivity
   Type (library)       :  OMNI.SD0
   Dir. Index (DI) [dB] :       0,0      0,0      0,0      0,0      0,0      0,0      0,0      0,0
 Level
   On axis 1m      [dB] :      54,1     63,1     66,8     67,7     69,4     70,6     70,6     54,2
   Total power     [dB] :      65,0     74,0     77,7     78,6     80,3     81,5     81,5     65,1
   Auxiliary delay [ms] :       0,0

 VARIABLE AIR DATA
 Temperature       [°C] :      20
 Relative humidity  [%] :      50
 Density        [kg/m³] :       1,2
 Sound speed      [m/s] :     343
 Impedance      [Ns/m³] :     412
 Diss. coeff. [0.001/m] :      0,10     0,30     0,63     1,07     2,28     6,83    24,23    83,90      (estimated)

#DATAFIELDS
 TYPE DELAY ORDER AZIMUTH ELEVATION SPL125 SPL250 SPL500 SPL1K SPL2K SPL4K SPL8K SPL16K
#DATA
d	     0,0000	 0	102,45	 90,75	  36,6	  45,6	  49,3	  50,2	  51,9	  52,9	  52,4	  34,0
s	     0,6626	 1	102,54	105,50	  33,7	  43,4	  48,1	  49,3	  51,0	  52,0	  51,5	  33,1
*	     1,0703	 1	 94,04	102,33	   7,5	  17,1	  21,9	  23,0	  24,7	  25,8	  25,2	   6,8
*	     2,2159	 1	 74,61	107,88	   6,4	  16,1	  20,9	  22,0	  23,7	  24,8	  24,2	   5,6
*	     5,9926	 1	 30,91	112,37	   5,5	  15,2	  20,0	  21,1	  22,8	  23,8	  23,1	   4,3
s	     0,9167	 1	 96,92	 90,81	  35,1	  44,6	  48,4	  49,3	  50,9	  51,9	  51,6	  33,2
*	    13,7064	 1	  3,17	 94,26	   2,9	  12,4	  16,3	  17,1	  18,7	  19,6	  19,0	  -0,5
*	     3,4164	 1	 66,51	 95,41	   9,5	  19,0	  22,9	  23,7	  25,4	  26,3	  26,0	   7,3
*	     1,1153	 1	 95,11	 93,78	  18,7	  28,2	  32,0	  32,9	  34,5	  35,4	  35,2	  16,8
*	     9,0259	 1	 27,58	 71,44	  -5,4	   3,7	   7,4	   8,2	   9,9	  10,9	  14,0	  -3,4
*	     8,4305	 1	 27,30	 82,75	  -4,7	   4,4	   8,1	   9,0	  10,6	  11,7	  14,8	  -2,6
*	     7,2136	 1	 39,55	 71,73	  -4,3	   4,9	   8,6	   9,4	  11,0	  12,1	  15,2	  -2,0
*	     6,6036	 1	 39,30	 83,03	  -3,6	   5,6	   9,3	  10,1	  11,8	  12,8	  16,0	  -1,2
*	     5,7623	 1	 50,96	 72,71	  -3,5	   5,6	   9,3	  10,2	  11,8	  12,9	  16,1	  -1,1
*	     5,1515	 1	 50,77	 83,57	  -2,8	   6,3	  10,0	  10,9	  12,5	  13,6	  16,8	  -0,3
*	     4,6357	 1	 61,07	 74,12	  -3,0	   6,1	   9,8	  10,7	  12,3	  13,4	  16,6	  -0,4
*	     4,0316	 1	 60,93	 84,28	  -2,4	   6,8	  10,5	  11,3	  13,0	  14,1	  17,3	   0,3
*	     3,7780	 1	 69,59	 75,70	  -2,6	   6,5	  10,2	  11,1	  12,7	  13,8	  17,1	   0,1
*	     3,1799	 1	 69,50	 85,01	  -2,0	   7,2	  10,9	  11,7	  13,4	  14,4	  17,7	   0,8
*	     3,1330	 1	 76,55	 77,24	  -2,1	   7,0	  10,7	  11,6	  13,2	  14,3	  17,6	   0,7
*	     2,5328	 1	 76,50	 85,70	  -1,5	   7,7	  11,4	  12,2	  13,9	  14,9	  18,2	   1,4
*	     2,6559	 1	 82,22	 78,65	  -1,4	   7,8	  11,5	  12,3	  13,9	  15,0	  18,3	   1,4
*	     2,0390	 1	 82,19	 86,30	  -0,7	   8,4	  12,1	  13,0	  14,6	  15,7	  19,0	   2,2
*	     2,3175	 1	 86,82	 79,87	  -0,3	   8,8	  12,5	  13,4	  15,0	  16,1	  19,4	   2,5
*	     1,6612	 1	 86,81	 86,82	   0,5	   9,6	  13,3	  14,2	  15,8	  16,9	  20,2	   3,4
*	     2,1084	 1	 90,59	 80,93	   1,2	  10,4	  14,1	  14,9	  16,6	  17,6	  20,9	   4,1
*	     1,3767	 1	 90,59	 87,26	   2,3	  11,5	  15,2	  16,0	  17,7	  18,8	  22,1	   5,3
*	     2,0497	 1	 93,71	 81,84	   3,4	  12,5	  16,2	  17,1	  18,7	  19,8	  23,1	   6,3
*	     1,1794	 1	 93,72	 87,63	   5,1	  14,3	  18,0	  18,8	  20,5	  21,6	  24,9	   8,2
s	     1,5533	 2	 96,97	104,98	  32,6	  42,8	  47,7	  48,8	  50,5	  51,5	  51,3	  32,8
s	     1,5807	 1	102,33	 70,29	  33,8	  42,9	  46,5	  47,1	  48,7	  50,6	  50,3	  31,1
*	    82,2136	 1	193,51	 84,57	 -21,9	 -12,1	  -8,2	  -7,5	  -6,0	  -4,7	  -7,0	 -31,0
*	    81,4052	 1	203,02	 84,10	 -21,7	 -11,8	  -8,0	  -7,2	  -5,7	  -4,4	  -6,8	 -30,6
*	    83,1473	 1	213,10	 83,79	 -22,0	 -12,2	  -8,3	  -7,6	  -6,1	  -4,8	  -7,2	 -31,2
*	    66,3230	 1	189,74	 83,73	 -17,6	  -7,7	  -3,9	  -3,1	  -1,6	  -0,2	  -2,1	 -24,7
*	    65,3305	 1	200,95	 83,06	 -17,2	  -7,3	  -3,5	  -2,8	  -1,2	   0,2	  -1,7	 -24,2
*	    67,3158	 1	213,16	 82,64	 -17,7	  -7,8	  -4,0	  -3,2	  -1,7	  -0,3	  -2,3	 -24,9
*	    50,7280	 1	184,29	 82,58	 -12,5	  -2,6	   1,2	   2,0	   3,5	   5,0	   3,5	 -17,6
*	    49,4625	 1	197,82	 81,51	 -11,9	  -2,0	   1,8	   2,6	   4,1	   5,7	   4,2	 -16,9
*	    51,7496	 1	213,26	 80,86	 -12,5	  -2,6	   1,2	   2,0	   3,5	   5,0	   3,5	 -17,8
*	    35,6689	 1	175,93	 80,95	  -6,4	   3,4	   7,3	   8,0	   9,6	  11,2	  10,1	  -9,7
*	    33,9807	 1	192,52	 78,98	  -5,4	   4,5	   8,4	   9,1	  10,7	  12,3	  11,2	  -8,4
*	    36,6234	 1	213,43	 77,80	  -6,1	   3,7	   7,6	   8,4	  10,0	  11,5	  10,4	  -9,5
*	    21,6741	 1	162,36	 78,76	   0,8	  10,7	  14,6	  15,3	  16,9	  18,6	  17,9	  -0,7
*	    19,3447	 1	181,97	 74,36	   2,8	  12,7	  16,6	  17,3	  19,0	  20,7	  20,0	   1,6
*	    22,2986	 1	213,80	 71,21	   2,2	  12,1	  15,9	  16,7	  18,3	  20,0	  19,2	   0,6
*	     9,9198	 1	140,48	 76,59	   9,2	  19,1	  23,0	  23,7	  25,4	  27,1	  26,7	   9,2
*	     7,0514	 1	155,67	 65,96	  12,5	  22,4	  26,3	  27,1	  28,7	  30,5	  30,1	  12,8
*	     9,7917	 1	215,38	 49,37	  14,2	  24,1	  27,9	  28,7	  30,4	  32,1	  31,7	  14,2
*	     2,7075	 1	112,13	 76,58	  18,0	  27,9	  31,7	  32,5	  34,2	  36,0	  35,7	  18,8
*	     1,6697	 1	101,85	 64,27	  17,4	  27,2	  31,1	  31,9	  33,6	  35,4	  35,1	  18,3
*	     5,1715	 1	 28,51	 35,48	  19,2	  29,1	  33,0	  33,7	  35,4	  37,2	  36,9	  19,8
s	     2,4376	 2	 96,86	 71,10	  33,3	  43,1	  46,9	  47,5	  49,1	  50,8	  50,9	  32,3
s	     3,3058	 1	105,24	 90,83	  34,2	  43,7	  47,5	  48,4	  50,0	  51,0	  50,7	  32,0
*	    18,4876	 1	143,93	 85,38	   3,8	  13,3	  17,1	  18,0	  19,6	  20,4	  19,7	  -0,2
*	     6,0009	 1	115,07	 85,53	  19,3	  28,8	  32,7	  33,5	  35,1	  36,1	  35,7	  16,8
s	     3,4880	 2	103,98	 90,85	  33,2	  43,2	  47,2	  48,1	  49,6	  50,4	  50,5	  31,8
s	     3,8832	 2	105,33	103,70	  31,8	  42,0	  46,9	  48,0	  49,7	  50,6	  50,3	  31,7
s	     4,0612	 3	104,06	103,62	  30,8	  41,5	  46,5	  47,6	  49,2	  50,1	  50,2	  31,5
s	     4,1989	 2	102,24	 58,46	  31,2	  41,1	  45,9	  46,7	  48,4	  50,3	  50,0	  31,3
s	     4,6896	 2	105,11	 72,87	  32,5	  42,3	  46,1	  46,7	  48,3	  50,0	  50,0	  31,3
s	     4,8623	 3	103,86	 73,00	  31,5	  41,8	  45,7	  46,3	  47,9	  49,5	  49,9	  31,1
s	     4,9196	 2	102,70	126,88	  32,4	  41,7	  45,3	  45,8	  47,5	  49,3	  48,9	  29,4
s	     4,9720	 3	 96,81	 59,56	  30,2	  40,6	  45,6	  46,4	  48,0	  49,8	  49,8	  31,1
s	     5,6724	 3	 97,05	125,80	  32,0	  41,9	  45,7	  46,3	  47,9	  49,7	  49,6	  30,7
*	    68,7090	 1	214,42	 94,25	 -21,3	 -12,1	  -8,4	  -7,6	  -6,1	  -5,5	  -7,9	 -32,3
*	    65,9851	 1	202,20	 94,48	 -20,6	 -11,4	  -7,8	  -7,0	  -5,4	  -4,8	  -7,1	 -31,3
*	    66,2796	 1	190,73	 94,53	 -20,7	 -11,6	  -7,9	  -7,1	  -5,6	  -4,9	  -7,3	 -31,5
*	    53,1203	 1	215,35	 95,61	 -16,1	  -7,0	  -3,3	  -2,5	  -1,0	  -0,2	  -2,2	 -25,3
*	    49,9427	 1	199,85	 95,87	 -15,2	  -6,1	  -2,4	  -1,6	  -0,0	   0,7	  -1,2	 -24,0
*	    50,3777	 1	185,83	 95,75	 -15,5	  -6,4	  -2,7	  -1,9	  -0,3	   0,4	  -1,5	 -24,3
*	    38,0247	 1	216,97	 97,97	  -9,9	  -0,7	   2,9	   3,8	   5,4	   6,2	   4,6	 -17,1
*	    34,2681	 1	195,83	 98,21	  -8,6	   0,5	   4,2	   5,0	   6,6	   7,5	   6,0	 -15,4
*	    34,9576	 1	178,11	 97,57	  -9,3	  -0,1	   3,6	   4,4	   6,0	   6,8	   5,3	 -16,1
*	    23,7959	 1	220,50	103,00	  -1,7	   7,4	  11,1	  11,9	  13,6	  14,5	  13,2	  -7,2
*	    19,3719	 1	187,53	102,81	  -0,1	   9,0	  12,7	  13,5	  15,2	  16,1	  15,0	  -5,1
*	    20,5436	 1	164,99	100,31	  -1,7	   7,5	  11,2	  12,0	  13,6	  14,6	  13,4	  -6,7
*	    11,4002	 1	233,80	119,31	  10,1	  19,3	  23,0	  23,8	  25,5	  26,5	  25,6	   6,2
*	     6,6243	 1	163,51	113,51	  10,7	  19,8	  23,5	  24,4	  26,0	  27,1	  26,3	   7,3
*	     8,4595	 1	142,03	103,68	   7,1	  16,3	  20,0	  20,8	  22,5	  23,5	  22,7	   3,6
*	     6,9125	 1	103,20	 80,28	  -2,8	   6,7	  10,5	  11,4	  13,0	  13,9	  13,5	  -5,4
s	     7,6779	 3	105,50	123,13	  31,3	  41,3	  45,1	  45,7	  47,3	  49,0	  48,9	  29,9
s	     7,8332	 4	104,21	122,96	  30,3	  40,8	  44,8	  45,3	  46,9	  48,5	  48,7	  29,7
s	     9,2402	 3	102,81	136,94	  29,4	  39,5	  44,3	  45,1	  46,8	  48,6	  48,2	  29,0
s	     9,4066	 3	102,12	 45,79	  27,8	  37,9	  42,6	  43,1	  44,8	  47,4	  47,3	  27,4
s	     9,4739	 1	316,89	 88,40	  32,3	  41,3	  45,1	  46,0	  47,6	  48,4	  47,5	  27,6
*	    11,5130	 1	273,57	102,27	  18,5	  27,5	  31,3	  32,2	  33,8	  34,6	  34,9	  17,2
*	    16,1727	 1	248,31	 97,83	  12,5	  21,6	  25,3	  26,2	  27,8	  28,6	  28,7	  10,7
*	    22,1004	 1	236,83	 95,22	   7,0	  16,0	  19,8	  20,6	  22,2	  23,0	  23,0	   4,4
*	    22,3922	 1	236,54	 75,79	   6,7	  15,7	  19,5	  20,4	  22,0	  22,7	  22,7	   4,1
*	    28,6662	 1	230,77	 93,74	   2,3	  11,4	  15,1	  16,0	  17,6	  18,3	  18,1	  -1,1
*	    28,8972	 1	230,51	 78,96	   2,2	  11,2	  15,0	  15,8	  17,4	  18,1	  17,9	  -1,3
*	    35,6333	 1	227,09	 92,82	  -1,6	   7,4	  11,1	  12,0	  13,6	  14,2	  13,9	  -5,9
*	    35,8247	 1	226,87	 80,96	  -1,8	   7,3	  11,0	  11,9	  13,5	  14,1	  13,8	  -6,1
*	    42,8816	 1	224,65	 92,20	  -5,1	   3,9	   7,7	   8,5	  10,1	  10,7	  10,2	 -10,3
*	    43,0452	 1	224,46	 82,32	  -5,2	   3,8	   7,6	   8,5	  10,0	  10,6	  10,1	 -10,4
*	    50,3376	 1	222,91	 91,75	  -8,2	   0,8	   4,6	   5,5	   7,0	   7,6	   6,8	 -14,3
*	    50,4804	 1	222,74	 83,31	  -8,2	   0,8	   4,5	   5,4	   6,9	   7,5	   6,7	 -14,4
*	    57,9514	 1	221,62	 91,42	 -10,9	  -1,9	   1,8	   2,7	   4,2	   4,7	   3,8	 -18,0
*	    58,0782	 1	221,47	 84,04	 -11,0	  -2,0	   1,8	   2,6	   4,1	   4,7	   3,7	 -18,1
*	    65,6879	 1	220,62	 91,17	 -13,5	  -4,4	  -0,7	   0,1	   1,6	   2,1	   1,0	 -21,5
*	    65,8020	 1	220,49	 84,63	 -13,5	  -4,5	  -0,7	   0,1	   1,6	   2,1	   0,9	 -21,6
*	    73,5214	 1	219,81	 90,95	 -15,8	  -6,8	  -3,0	  -2,2	  -0,7	  -0,3	  -1,6	 -24,8
*	    73,6250	 1	219,69	 85,08	 -15,8	  -6,8	  -3,0	  -2,2	  -0,7	  -0,3	  -1,7	 -24,8
*	    81,4326	 1	219,17	 90,80	 -17,9	  -8,9	  -5,2	  -4,3	  -2,9	  -2,5	  -4,0	 -27,9
*	    81,5275	 1	219,06	 85,46	 -17,9	  -8,9	  -5,2	  -4,4	  -2,9	  -2,5	  -4,1	 -28,0
s	     9,8904	 4	 97,11	135,79	  28,5	  39,1	  44,0	  44,8	  46,5	  48,2	  48,1	  28,9
s	     9,9390	 2	316,68	 98,78	  30,5	  40,2	  45,0	  46,1	  47,8	  48,7	  48,0	  28,8
s	    10,0534	 4	 96,74	 46,99	  27,4	  38,2	  43,1	  43,6	  45,3	  47,8	  48,0	  28,8
s	    11,7980	 4	104,89	 49,82	  27,0	  37,7	  42,6	  43,2	  44,8	  47,3	  47,5	  28,1
s	    11,9343	 5	103,66	 50,03	  26,0	  37,2	  42,3	  42,8	  44,4	  46,8	  47,3	  28,0
s	    12,2669	 4	105,63	134,06	  29,9	  40,0	  43,8	  44,3	  45,9	  47,7	  47,4	  27,9
s	    12,4013	 5	104,33	133,86	  28,9	  39,5	  43,5	  44,0	  45,5	  47,2	  47,2	  27,8
s	    12,8750	 2	315,48	 88,43	  31,2	  40,7	  44,6	  45,5	  47,1	  47,8	  47,4	  27,9
*	    12,9470	 1	  0,82	 91,15	   5,1	  14,1	  17,9	  18,8	  20,4	  21,2	  21,4	   3,6
*	    13,1982	 1	  0,55	100,91	   4,8	  13,9	  17,6	  18,5	  20,1	  20,9	  21,1	   3,3
s	    13,0070	 3	316,42	 88,45	  30,2	  40,2	  44,3	  45,2	  46,7	  47,3	  47,3	  27,8
s	    13,0111	 2	319,40	 88,51	  31,7	  41,0	  44,7	  45,5	  47,1	  48,2	  46,3	  26,1
*	    19,9889	 1	251,05	 79,17	  10,4	  19,6	  23,3	  24,1	  25,7	  26,7	  25,6	   5,4
*	    13,9713	 1	283,33	 74,43	  16,8	  25,9	  29,6	  30,5	  32,1	  33,1	  32,1	  12,5
*	    13,0253	 1	332,15	 76,18	  16,5	  25,7	  29,4	  30,2	  31,9	  32,9	  31,9	  12,4
s	    13,0802	 3	316,32	115,24	  29,9	  39,2	  42,9	  43,4	  45,0	  46,7	  46,2	  26,0
s	    13,2950	 3	315,30	 97,80	  28,9	  39,1	  44,1	  45,2	  46,8	  47,5	  47,2	  27,7
s	    13,4255	 4	316,23	 97,79	  27,9	  38,6	  43,7	  44,8	  46,4	  47,0	  47,0	  27,5
s	    13,4295	 3	319,21	 97,85	  28,8	  39,2	  44,1	  45,2	  46,8	  47,7	  47,1	  27,6
s	    13,4477	 2	315,92	 75,03	  30,0	  39,3	  42,9	  43,4	  45,0	  46,8	  46,2	  25,9
s	    14,0214	 3	319,68	 75,33	  30,2	  39,8	  43,5	  44,0	  45,6	  47,4	  45,9	  25,6
*	    15,1031	 1	358,54	 73,18	 -10,1	  -1,1	   2,7	   3,6	   5,1	   6,0	   6,1	 -11,8
*	    14,6350	 1	358,29	 81,88	  -9,6	  -0,6	   3,2	   4,1	   5,6	   6,5	   6,6	 -11,3
s	    14,7399	 4	102,92	144,93	  26,2	  36,5	  41,2	  41,6	  43,3	  45,9	  45,6	  25,2
s	    15,2352	 3	316,11	 66,42	  27,9	  38,0	  42,8	  43,5	  45,2	  47,0	  46,4	  26,7
s	    15,2937	 5	 97,18	143,82	  25,9	  36,8	  41,7	  42,2	  43,8	  46,3	  46,4	  26,7
s	    15,7817	 4	319,87	 66,84	  27,0	  37,6	  42,6	  43,3	  45,0	  46,7	  46,4	  26,6
s	    15,9592	 4	316,12	123,04	  27,5	  37,6	  42,5	  43,3	  44,9	  46,6	  46,1	  26,3
s	    16,1591	 4	314,98	112,94	  28,9	  38,9	  42,8	  43,4	  44,9	  46,5	  46,3	  26,5
s	    16,2798	 5	315,91	112,87	  27,9	  38,4	  42,5	  43,0	  44,5	  46,0	  46,1	  26,4
s	    16,2835	 4	318,87	112,93	  29,4	  39,2	  42,9	  43,4	  45,0	  46,8	  45,2	  24,7
s	    16,6448	 5	110,22	 68,32	  23,8	  35,5	  41,6	  42,7	  44,3	  45,9	  46,0	  26,2
s	    16,7639	 6	109,31	 68,40	  22,9	  35,0	  41,3	  42,3	  43,9	  45,4	  45,9	  26,1
s	    16,7729	 3	314,71	 76,23	  29,0	  39,0	  42,8	  43,3	  44,9	  46,6	  46,2	  26,4
